CountryCode,Name,District,Population
AFG,Kabul,Kabol,1780000
AFG,Qandahar,Qandahar,237500
AFG,Herat,Herat,186800
AFG,Mazar-e-Sharif,Balkh,127800
NLD,Amsterdam,Noord-Holland,731200
NLD,Rotterdam,Zuid-Holland,593321
NLD,Haag,Zuid-Holland,440900
NLD,Utrecht,Utrecht,234323
NLD,Eindhoven,Noord-Brabant,201843
NLD,Tilburg,Noord-Brabant,193238
NLD,Groningen,Groningen,172701
NLD,Breda,Noord-Brabant,160398
NLD,Apeldoorn,Gelderland,153491
NLD,Nijmegen,Gelderland,152463
NLD,Enschede,Overijssel,149544
NLD,Haarlem,Noord-Holland,148772
NLD,Almere,Flevoland,142465
NLD,Arnhem,Gelderland,138020
NLD,Zaanstad,Noord-Holland,135621
NLD,´s-Hertogenbosch,Noord-Brabant,129170
NLD,Amersfoort,Utrecht,126270
NLD,Maastricht,Limburg,122087
NLD,Dordrecht,Zuid-Holland,119811
NLD,Leiden,Zuid-Holland,117196
NLD,Haarlemmermeer,Noord-Holland,110722
NLD,Zoetermeer,Zuid-Holland,110214
NLD,Emmen,Drenthe,105853
NLD,Zwolle,Overijssel,105819
NLD,Ede,Gelderland,101574
NLD,Delft,Zuid-Holland,95268
NLD,Heerlen,Limburg,95052
NLD,Alkmaar,Noord-Holland,92713
ANT,Willemstad,Curaçao,2345
ALB,Tirana,Tirana,270000
DZA,Alger,Alger,2168000
DZA,Oran,Oran,609823
DZA,Constantine,Constantine,443727
DZA,Annaba,Annaba,222518
DZA,Batna,Batna,183377
DZA,Sétif,Sétif,179055
DZA,"Sidi Bel Abbès","Sidi Bel Abbès",153106
DZA,Skikda,Skikda,128747
DZA,Biskra,Biskra,128281
DZA,"Blida (el-Boulaida)",Blida,127284
DZA,Béjaïa,Béjaïa,117162
DZA,Mostaganem,Mostaganem,115212
DZA,Tébessa,Tébessa,112007
DZA,"Tlemcen (Tilimsen)",Tlemcen,110242
DZA,Béchar,Béchar,107311
DZA,Tiaret,Tiaret,100118
DZA,"Ech-Chleff (el-Asnam)",Chlef,96794
DZA,Ghardaïa,Ghardaïa,89415
ASM,Tafuna,Tutuila,5200
ASM,Fagatogo,Tutuila,2323
AND,"Andorra la Vella","Andorra la Vella",21189
AGO,Luanda,Luanda,2022000
AGO,Huambo,Huambo,163100
AGO,Lobito,Benguela,130000
AGO,Benguela,Benguela,128300
AGO,Namibe,Namibe,118200
AIA,"South Hill",–,961
AIA,"The Valley",–,595
ATG,"Saint John´s","St John",24000
ARE,Dubai,Dubai,669181
ARE,"Abu Dhabi","Abu Dhabi",398695
ARE,Sharja,Sharja,320095
ARE,al-Ayn,"Abu Dhabi",225970
ARE,Ajman,Ajman,114395
ARG,"Buenos Aires","Distrito Federal",2982146
ARG,"La Matanza","Buenos Aires",1266461
ARG,Córdoba,Córdoba,1157507
ARG,Rosario,"Santa Fé",907718
ARG,"Lomas de Zamora","Buenos Aires",622013
ARG,Quilmes,"Buenos Aires",559249
ARG,"Almirante Brown","Buenos Aires",538918
ARG,"La Plata","Buenos Aires",521936
ARG,"Mar del Plata","Buenos Aires",512880
ARG,"San Miguel de Tucumán",Tucumán,470809
ARG,Lanús,"Buenos Aires",469735
ARG,Merlo,"Buenos Aires",463846
ARG,"General San Martín","Buenos Aires",422542
ARG,Salta,Salta,367550
ARG,Moreno,"Buenos Aires",356993
ARG,"Santa Fé","Santa Fé",353063
ARG,Avellaneda,"Buenos Aires",353046
ARG,"Tres de Febrero","Buenos Aires",352311
ARG,Morón,"Buenos Aires",349246
ARG,"Florencio Varela","Buenos Aires",315432
ARG,"San Isidro","Buenos Aires",306341
ARG,Tigre,"Buenos Aires",296226
ARG,"Malvinas Argentinas","Buenos Aires",290335
ARG,"Vicente López","Buenos Aires",288341
ARG,Berazategui,"Buenos Aires",276916
ARG,Corrientes,Corrientes,258103
ARG,"San Miguel","Buenos Aires",248700
ARG,"Bahía Blanca","Buenos Aires",239810
ARG,"Esteban Echeverría","Buenos Aires",235760
ARG,Resistencia,Chaco,229212
ARG,"José C. Paz","Buenos Aires",221754
ARG,Paraná,"Entre Rios",207041
ARG,"Godoy Cruz",Mendoza,206998
ARG,Posadas,Misiones,201273
ARG,Guaymallén,Mendoza,200595
ARG,"Santiago del Estero","Santiago del Estero",189947
ARG,"San Salvador de Jujuy",Jujuy,178748
ARG,Hurlingham,"Buenos Aires",170028
ARG,Neuquén,Neuquén,167296
ARG,Ituzaingó,"Buenos Aires",158197
ARG,"San Fernando","Buenos Aires",153036
ARG,Formosa,Formosa,147636
ARG,"Las Heras",Mendoza,145823
ARG,"La Rioja","La Rioja",138117
ARG,"San Fernando del Valle de Cata",Catamarca,134935
ARG,"Río Cuarto",Córdoba,134355
ARG,"Comodoro Rivadavia",Chubut,124104
ARG,Mendoza,Mendoza,123027
ARG,"San Nicolás de los Arroyos","Buenos Aires",119302
ARG,"San Juan","San Juan",119152
ARG,Escobar,"Buenos Aires",116675
ARG,Concordia,"Entre Rios",116485
ARG,Pilar,"Buenos Aires",113428
ARG,"San Luis","San Luis",110136
ARG,Ezeiza,"Buenos Aires",99578
ARG,"San Rafael",Mendoza,94651
ARG,Tandil,"Buenos Aires",91101
ARM,Yerevan,Yerevan,1248700
ARM,Gjumri,Širak,211700
ARM,Vanadzor,Lori,172700
ABW,Oranjestad,–,29034
AUS,Sydney,"New South Wales",3276207
AUS,Melbourne,Victoria,2865329
AUS,Brisbane,Queensland,1291117
AUS,Perth,"West Australia",1096829
AUS,Adelaide,"South Australia",978100
AUS,Canberra,"Capital Region",322723
AUS,"Gold Coast",Queensland,311932
AUS,Newcastle,"New South Wales",270324
AUS,"Central Coast","New South Wales",227657
AUS,Wollongong,"New South Wales",219761
AUS,Hobart,Tasmania,126118
AUS,Geelong,Victoria,125382
AUS,Townsville,Queensland,109914
AUS,Cairns,Queensland,92273
AZE,Baku,Baki,1787800
AZE,Gäncä,Gäncä,299300
AZE,Sumqayit,Sumqayit,283000
AZE,Mingäçevir,Mingäçevir,93900
BHS,Nassau,"New Providence",172000
BHR,al-Manama,al-Manama,148000
BGD,Dhaka,Dhaka,3612850
BGD,Chittagong,Chittagong,1392860
BGD,Khulna,Khulna,663340
BGD,Rajshahi,Rajshahi,294056
BGD,Narayanganj,Dhaka,202134
BGD,Rangpur,Rajshahi,191398
BGD,Mymensingh,Dhaka,188713
BGD,Barisal,Barisal,170232
BGD,Tungi,Dhaka,168702
BGD,Jessore,Khulna,139710
BGD,Comilla,Chittagong,135313
BGD,Nawabganj,Rajshahi,130577
BGD,Dinajpur,Rajshahi,127815
BGD,Bogra,Rajshahi,120170
BGD,Sylhet,Sylhet,117396
BGD,Brahmanbaria,Chittagong,109032
BGD,Tangail,Dhaka,106004
BGD,Jamalpur,Dhaka,103556
BGD,Pabna,Rajshahi,103277
BGD,Naogaon,Rajshahi,101266
BGD,Sirajganj,Rajshahi,99669
BGD,Narsinghdi,Dhaka,98342
BGD,Saidpur,Rajshahi,96777
BGD,Gazipur,Dhaka,96717
BRB,Bridgetown,"St Michael",6070
BEL,Antwerpen,Antwerpen,446525
BEL,Gent,"East Flanderi",224180
BEL,Charleroi,Hainaut,200827
BEL,Liège,Liège,185639
BEL,"Bruxelles [Brussel]",Bryssel,133859
BEL,Brugge,"West Flanderi",116246
BEL,Schaerbeek,Bryssel,105692
BEL,Namur,Namur,105419
BEL,Mons,Hainaut,90935
BLZ,"Belize City","Belize City",55810
BLZ,Belmopan,Cayo,7105
BEN,Cotonou,Atlantique,536827
BEN,Porto-Novo,Ouémé,194000
BEN,Djougou,Atacora,134099
BEN,Parakou,Borgou,103577
BMU,"Saint George","Saint George´s",1800
BMU,Hamilton,Hamilton,1200
BTN,Thimphu,Thimphu,22000
BOL,"Santa Cruz de la Sierra","Santa Cruz",935361
BOL,"La Paz","La Paz",758141
BOL,"El Alto","La Paz",534466
BOL,Cochabamba,Cochabamba,482800
BOL,Oruro,Oruro,223553
BOL,Sucre,Chuquisaca,178426
BOL,Potosí,Potosí,140642
BOL,Tarija,Tarija,125255
BIH,Sarajevo,Federaatio,360000
BIH,"Banja Luka","Republika Srpska",143079
BIH,Zenica,Federaatio,96027
BWA,Gaborone,Gaborone,213017
BWA,Francistown,Francistown,101805
BRA,"São Paulo","São Paulo",9968485
BRA,"Rio de Janeiro","Rio de Janeiro",5598953
BRA,Salvador,Bahia,2302832
BRA,"Belo Horizonte","Minas Gerais",2139125
BRA,Fortaleza,Ceará,2097757
BRA,Brasília,"Distrito Federal",1969868
BRA,Curitiba,Paraná,1584232
BRA,Recife,Pernambuco,1378087
BRA,"Porto Alegre","Rio Grande do Sul",1314032
BRA,Manaus,Amazonas,1255049
BRA,Belém,Pará,1186926
BRA,Guarulhos,"São Paulo",1095874
BRA,Goiânia,Goiás,1056330
BRA,Campinas,"São Paulo",950043
BRA,"São Gonçalo","Rio de Janeiro",869254
BRA,"Nova Iguaçu","Rio de Janeiro",862225
